Date,Open,High,Low,Close,Volume,Label
1997-06-18,1.8511524803312631,1.8821341118012422,1.8356616645962733,1.870516,10886400,Hold
1997-06-19,1.88988,1.8976254098360654,1.8627710655737704,1.88988,13938400,Sell
1997-06-20,1.8860079437500001,1.8898806500000003,1.8511535875000003,1.858899,12279200,Hold
1997-06-23,1.855025639065817,1.8588983439490443,1.8162985902335453,1.8240439999999998,9364800,Hold
1997-06-24,1.8337262429244927,1.8685805936551816,1.820171649269311,1.8550259999999998,14157600,Hold
1997-06-25,1.8511532943632567,1.8879441218388977,1.8356624718162837,1.8550259999999998,13535200,Hold
1997-06-26,1.858898884120172,1.8782624141630904,1.7891901759656654,1.8046810000000002,14824000,Hold
1997-06-27,1.8124257044967877,1.8201711134903638,1.7775713640256958,1.8085529999999999,13441600,Hold
1997-06-30,1.84728004496788,1.8511527494646678,1.7814440685224837,1.8085529999999999,11793600,Hold
1997-07-01,1.8008077047413793,1.835662047413793,1.7930622952586206,1.796935,9890400,Hold
1997-07-02,1.7349722352941177,1.8124263529411766,1.7233541176470588,1.7775720000000002,40356800,Hold
1997-07-03,1.8104895905172587,1.8201712284441331,1.7930622952545396,1.8182349999999998,13809600,Hold
1997-07-07,1.833726291840819,1.835662520784261,1.7659538174633396,1.7717630000000002,18119200,Buy
1997-07-08,1.7717623630569737,1.7814439999999998,1.7582077739130433,1.7814439999999998,16339200,Hold
1997-07-09,1.7930627654584221,1.8201717057569298,1.7698265309168444,1.816299,23820000,Hold
1997-07-10,1.8143625892621749,1.8279169341267976,1.7969352911754959,1.8221080000000003,14081600,Hold
1997-07-11,1.8259811835010724,1.83372659626703,1.808553880851064,1.8201720000000001,10883200,Hold
1997-07-14,1.8259811208016004,1.8627717062500002,1.8240446437500002,1.858899,18007200,Hold
1997-07-15,1.86858099943268,1.9208624129554654,1.8511536963562751,1.9131169999999997,24760800,Hold
1997-07-16,1.9189258286590947,1.9402255864197528,1.8666441769547324,1.882135,17957600,Hold
1997-07-17,1.8898805802700733,1.9266714122142214,1.8840716450360027,1.918926,16556800,Sell
1997-07-18,1.9286073453681796,1.9402254619065422,1.8898802902403045,1.915053,13606400,Hold
1997-07-21,1.9111804171364608,1.9208620576131685,1.882135,1.882135,8488800,Hold
1997-07-22,1.8879443586204736,1.8976259999999998,1.8763262402531267,1.8976259999999998,10418400,Hold
1997-07-23,1.9053711122914545,1.9363527563937546,1.8898802902403045,1.915053,11338400,Hold
1997-07-24,1.9286073496932514,1.9344165319020368,1.8860075889570551,1.8937529999999998,8918400,Hold
1997-07-25,1.905369702647658,1.928605918533605,1.8937515947046843,1.9014970000000002,6384800,Hold
1997-07-28,1.9189252261992726,1.9189252261992726,1.8705162954545453,1.8743889999999999,6317600,Buy
1997-07-29,1.889880405948783,1.915053117249685,1.8685806482509444,1.9034349999999998,6932800,Hold
1997-07-30,1.9073074247233786,1.9576525920540557,1.8995620143648126,1.9440979999999999,14849600,Sell
