timestamp,close,rsi,williamsR,sma14,ema12,wma10,hma14,tripleEma12,cci20,cmo10,macd,ppo,roc14,cmfi20,psi
2018-05-17T00:00+06:00[Asia/Almaty],24713.980469,55.929204280563603076511841263431,-19.154626049409998123248623833804,24449.952985714285714285714285714,24591.575891619684152929006603750,24707.6350854,24924.846006968253968253968253967,24837.994875577816021170187288415,89.245672891290886781047244269818,61.249715717048224312601001695582,104.922720790633102207556337046,0.42848943078765674402444647113060,1.6568132825368427274704764318962,0.12560403727399974331084696823189,24105.1161978905333430784000
2018-05-18T00:00+06:00[Asia/Almaty],24715.089844,55.954478581583017327997833360899,-19.078790995978719786120150672266,24489.377232357142857142857142857,24610.578038139732745261136173867,24725.251243072727272727272727273,24893.532586263492063492063492062,24827.535245809461287957490010013,79.626515884432746409313425820249,47.716429035067358341725475624795,107.003632260981773301572373171,0.43668580954177077948564938293351,2.2842197481234888035589680074181,0.15937234011789558870707015938839,24194.023523401480008770560000
2018-05-21T00:00+06:00[Asia/Almaty],25013.289063,62.225518729827966984736431054423,-4.7069268980234565010750426551835,24554.679966785714285714285714286,24672.533580425927709077542242735,24788.856711872727272727272727273,24898.79673876984126984126984127,24932.834219717715390613218078433,126.54108739024616971545372983125,56.948297237198495491825746841224,131.202533278936070450857697029,0.53461865221115944850066884012800,3.7936692623628029359933651736970,0.16506096332763754502463685004433,24274.04011636133200789350400000
2018-05-22T00:00+06:00[Asia/Almaty],24834.410156,56.984321294041992110731630211262,-16.209064464201685525230243056795,24619.639230142857142857142857143,24697.437668975784985226676419138,24808.012038490909090909090909091,24896.428818065873015873015873017,24932.796242072336836739858455619,94.894100034049528580177696657577,35.711659040723761901587075587375,134.397058210051987692290801774,0.54715155318005341889580188548941,3.8011721187332351506297064555401,0.16758427141224340078256656159229,24371.534130477972166946283520000
2018-05-23T00:00+06:00[Asia/Almaty],24886.810547,58.097742513615968558841652541827,-15.270454726444214677408847824390,24687.972098428571428571428571429,24726.571957902587295920160347056,24828.072904963636363636363636364,24899.44901120079365079365079365,24948.352060854764037021409577695,68.686629459887764740590605587857,28.738919189696430903908881528727,139.548388897278966188865997118,0.56756926476125117404136241537103,3.9977189460530707953460099088267,0.18666943107113954737172722611379,24457.328862900615506912729497600
2018-05-24T00:00+06:00[Asia/Almaty],24811.759766,55.867276618143442784434108021762,-30.932877032233245993395330266083,24727.204241285714285714285714286,24739.677774532958481490858017114,24828.228693363636363636363636364,24890.190465531746031746031746033,24925.240850093737225493484531860,52.579391335653960164916599711471,6.7129419661161867875098413130211,136.007079824339658581177384557,0.55279182326883435757461535989045,2.2637806446952384917589238323483,0.19049445070253948714514090278660,24532.828227432541646083201957888
2018-05-25T00:00+06:00[Asia/Almaty],24753.089844,54.118138291764971115965783861857,-37.538731475420508456906718241716,24755.4734935,24741.741169835580253620772435508,24816.403941963636363636363636364,24867.80010252857142857142857143,24881.438068584169934529864544606,46.036042542509944134374640362161,-7.4859790953859090275352789355669,127.002389994266529313146161735,0.51596074664939137008399584916417,1.6248484066154424513602692219109,0.16780858257178875121589119647944,24599.267668220636648553217722941
2018-05-29T00:00+06:00[Asia/Almaty],24361.449219,44.175436540531182954392904883139,-86.453309226983129406283350085844,24755.561942142857142857142857143,24683.234715860875597754915326831,24734.791441981818181818181818182,24765.205909218253968253968253968,24692.436700397478691489212059615,-32.325947010034049772556489769420,-39.370159674224600782859580818555,87.258125711511037178896492132,0.35476585120209346696314574916530,0.0050832113200973136827933653092409,0.20710547875735004505932817421151,25086.490234
2018-05-30T00:00+06:00[Asia/Almaty],24667.779297,51.656841684951170260259130020292,-49.926756368646057625991207134596,24764.507673142857142857142857143,24680.856959113048582656253665546,24718.656427763636363636363636364,24681.167170673015873015873015873,24676.473982245245790754776425230,7.2239336657651745347410961311045,-2.6106376032126804311130401091679,79.561649937711026859876883550,0.32340431240641865522660390808970,0.51029860308467628413121373056527,0.18890436221192448740558197476691,25069.71722620
2018-05-31T00:00+06:00[Asia/Almaty],24415.839844,46.175795649349234649519762065036,-79.967814717167185720858008543942,24741.386997928571428571428571429,24640.085095249502645843687274258,24657.416619527272727272727272727,24575.946633404761904761904761903,24565.793222822741921533781648033,-42.989643481377661228768945507039,-21.153643632402076347055713032883,52.527227939004908239630951325,0.21363336782967206698288751068108,-1.3083896993919431239209482199713,0.19679128869234266621573856859707,25057.5046785560
2018-06-01T00:00+06:00[Asia/Almaty],24635.210938,51.046453906802201593736566474737,-53.810181379633055438035389216238,24727.389927642857142857142857143,24639.335224903425315695142473413,24642.482280090909090909090909091,24524.390591178571428571428571428,24573.960609344634027057528913961,-11.981427805264453889349782387695,-4.2959188072946597280047654277885,48.247500504816299589232462395,0.19619913135012096532078315308398,-0.78916532976717954578217637634512,0.17616034515547254865362308380909,25043.397592804880
2018-06-04T00:00+06:00[Asia/Almaty],24813.689453,54.642692769885189793673090652111,-32.528546370794628736773138566119,24721.267020285714285714285714286,24666.158952302898344720329124029,24661.430753036363636363636363636,24537.111863156349206349206349207,24651.692142664054158947624527483,51.563511745300490298914513563497,4.9031138742991319636486768028240,58.582210970852960343975045166,0.23806574530541042039986404128949,-0.34426800660313601687392518006120,0.15547261213103357160452513176715,25029.57264876878240
2018-06-05T00:00+06:00[Asia/Almaty],24799.980469,54.312650640277378753331723018988,-34.163194629886239008366764129210,24727.950614071428571428571428571,24686.746877948606292201130476860,24676.093963272727272727272727273,24595.462591673015873015873015872,24702.821974195344362466646569133,40.702255955803650347724485507337,-12.355195771716111282060564374536,64.918008641156863006891886930,0.26366038439200168360193529058212,0.37872889023206095599475969454152,0.18043553876955959320740607573594,25016.0242036134067520
2018-06-06T00:00+06:00[Asia/Almaty],25146.390625,60.761978028473613762678945236485,-0.0078245436780276604546298353419244,24754.912109571428571428571428571,24757.461300571897633630355584464,24757.619176309090909090909090909,24730.948811227777777777777777777,24876.007401513642162068985411097,172.13112640803468954239459030428,16.472041666563907954891186882202,96.776004916851867995015894758,0.39243031471596122096086930116767,1.5239291392670531771586657668904,0.20290558947019843011317839774091,24247.839844
